"계열","세부 분류","속성·테마","에셋 형식","원본 팩","위치","에셋 이름","분류 근거","확인 사항"
"근접/Slash","무기 부착 효과","매트릭스","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Matrix","NS_Sword_Matrix","이름: NS_Sword_Matrix; 테마 폴더: Matrix","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","모래","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Sand","NS_Sword_Sand","이름: NS_Sword_Sand; 테마 폴더: Sand","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","물","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Water","NS_Sword_Water","이름: NS_Sword_Water; 테마 폴더: Water","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","바람","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Wind","NS_Sword_Wind","이름: NS_Sword_Wind; 테마 폴더: Wind","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","번개","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Lightning","NS_Sword_Lightning","이름: NS_Sword_Lightning; 테마 폴더: Lightning","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","사이버","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Cyberpunk","NS_Sword_CyberPunk","이름: NS_Sword_CyberPunk; 테마 폴더: Cyberpunk","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","신비","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Mystic","NS_Sword_Mystic","이름: NS_Sword_Mystic; 테마 폴더: Mystic","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","암흑","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Dark","NS_Sword_Dark","이름: NS_Sword_Dark; 테마 폴더: Dark","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","얼음","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Ice","NS_Sword_Ice","이름: NS_Sword_Ice; 테마 폴더: Ice","확인 필요: 부착 위치·형태"
"근접/Slash","무기 부착 효과","음악","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Music","NS_Sword_Music","이름: NS_Sword_Music; 테마 폴더: Music","확인 필요: 부착 위치·형태"
